dataset,budget,repeats,best_method,best_dimension,candidate_method,candidate_dimension,boundary_coverage_delta_mean,boundary_coverage_delta_ci_low,boundary_coverage_delta_ci_high,paired_repeats
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,repulsive_fps,8,0.24666666666666667,0.24,0.25,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,repulsive_fps,full,0.23666666666666672,0.22333333333333338,0.24666666666666667,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,repulsive_fps,16,0.23333333333333334,0.22000000000000003,0.24333333333333335,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,fps,16,0.23000000000000004,0.2166666666666667,0.24333333333333335,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,fps,8,0.2266666666666667,0.21333333333333337,0.24000000000000005,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,fps,full,0.2266666666666667,0.21333333333333337,0.24000000000000005,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,repulsive_fps,2,0.22000000000000006,0.20666666666666672,0.23333333333333334,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,fps,2,0.2166666666666667,0.20333333333333342,0.23000000000000004,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,kennard_stone,tanimoto,0.1875,0.1875,0.1875,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,kennard_stone,2,0.18333333333333343,0.18333333333333343,0.18333333333333343,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,ward,8,0.18333333333333343,0.18333333333333343,0.18333333333333343,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,ward,16,0.18333333333333343,0.18333333333333343,0.18333333333333343,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,ward,full,0.18333333333333343,0.18333333333333343,0.18333333333333343,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,cvt,8,0.16666666666666674,0.1533333333333334,0.17666666666666678,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,cvt,full,0.15666666666666676,0.14333333333333337,0.1700000000000001,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,cvt,16,0.1533333333333334,0.14000000000000004,0.16666666666666677,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,fps,tanimoto,0.13125,0.10625,0.153125,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,weighted_itr_cvt,8,0.12666666666666668,0.11333333333333336,0.14000000000000007,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,cvt,2,0.12000000000000004,0.1166666666666667,0.1266666666666667,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,ward,2,0.1166666666666667,0.1166666666666667,0.1166666666666667,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,weighted_itr_cvt,16,0.10333333333333336,0.09000000000000001,0.11333333333333337,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,repulsive_fps,tanimoto,0.096875,0.075,0.11875,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,weighted_itr_cvt,full,0.0666666666666667,0.0366666666666667,0.09333333333333335,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,random,full,0.06666666666666668,0.02333333333333336,0.10666666666666669,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,random,16,0.06333333333333335,0.03000000000000002,0.09666666666666669,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,cvt,tanimoto,0.0625,0.0625,0.0625,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,ward,tanimoto,0.0625,0.0625,0.0625,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,random,tanimoto,0.05625,0.01875,0.090625,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,random,2,0.05333333333333336,0.010000000000000004,0.09666666666666669,20
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,random,8,0.016666666666666698,-0.026666666666666627,0.06000000000000004,20
cobalt_threshold50,12,20,cvt,tanimoto,kennard_stone,2,0.33333333333333326,0.33333333333333326,0.33333333333333326,20
cobalt_threshold50,12,20,cvt,tanimoto,kennard_stone,8,0.33333333333333326,0.33333333333333326,0.33333333333333326,20
cobalt_threshold50,12,20,cvt,tanimoto,kennard_stone,16,0.33333333333333326,0.33333333333333326,0.33333333333333326,20
cobalt_threshold50,12,20,cvt,tanimoto,kennard_stone,full,0.33333333333333326,0.33333333333333326,0.33333333333333326,20
cobalt_threshold50,12,20,cvt,tanimoto,repulsive_fps,8,0.32333333333333325,0.3133333333333333,0.33333333333333326,20
cobalt_threshold50,12,20,cvt,tanimoto,repulsive_fps,full,0.31999999999999995,0.30666666666666664,0.3299999999999999,20
cobalt_threshold50,12,20,cvt,tanimoto,repulsive_fps,16,0.3166666666666666,0.30333333333333334,0.3299999999999999,20
cobalt_threshold50,12,20,cvt,tanimoto,fps,16,0.3133333333333333,0.3,0.32666666666666655,20
cobalt_threshold50,12,20,cvt,tanimoto,fps,8,0.30999999999999994,0.2966666666666667,0.32333333333333325,20
cobalt_threshold50,12,20,cvt,tanimoto,fps,full,0.30999999999999994,0.2966666666666667,0.32333333333333325,20
cobalt_threshold50,12,20,cvt,tanimoto,repulsive_fps,2,0.30666666666666664,0.29000000000000004,0.31999999999999995,20
cobalt_threshold50,12,20,cvt,tanimoto,fps,2,0.30333333333333334,0.29,0.3166666666666666,20
cobalt_threshold50,12,20,cvt,tanimoto,weighted_itr_cvt,2,0.27,0.2666666666666667,0.27666666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,ward,8,0.2666666666666667,0.2666666666666667,0.2666666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,ward,16,0.2666666666666667,0.2666666666666667,0.2666666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,ward,full,0.2666666666666667,0.2666666666666667,0.2666666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,kennard_stone,tanimoto,0.2666666666666667,0.2666666666666667,0.2666666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,cvt,8,0.2500000000000001,0.23666666666666672,0.26000000000000006,20
cobalt_threshold50,12,20,cvt,tanimoto,fps,tanimoto,0.24666666666666667,0.21666666666666662,0.27666666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,cvt,full,0.24000000000000005,0.2266666666666667,0.2533333333333334,20
cobalt_threshold50,12,20,cvt,tanimoto,cvt,16,0.23666666666666672,0.22333333333333333,0.25000000000000006,20
cobalt_threshold50,12,20,cvt,tanimoto,repulsive_fps,tanimoto,0.22333333333333338,0.19333333333333336,0.2533333333333333,20
cobalt_threshold50,12,20,cvt,tanimoto,weighted_itr_cvt,8,0.21000000000000002,0.1966666666666667,0.22333333333333338,20
cobalt_threshold50,12,20,cvt,tanimoto,cvt,2,0.2066666666666667,0.20000000000000004,0.2166666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,ward,2,0.20000000000000004,0.20000000000000004,0.20000000000000004,20
cobalt_threshold50,12,20,cvt,tanimoto,weighted_itr_cvt,16,0.1866666666666667,0.17333333333333337,0.1966666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,weighted_itr_cvt,full,0.15333333333333338,0.1266666666666667,0.1766666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,random,full,0.15000000000000002,0.10666666666666666,0.19,20
cobalt_threshold50,12,20,cvt,tanimoto,random,16,0.14666666666666667,0.11333333333333333,0.18,20
cobalt_threshold50,12,20,cvt,tanimoto,random,2,0.13666666666666666,0.09666666666666668,0.1766666666666667,20
cobalt_threshold50,12,20,cvt,tanimoto,random,tanimoto,0.13333333333333336,0.09000000000000001,0.17333333333333334,20
cobalt_threshold50,12,20,cvt,tanimoto,random,8,0.10000000000000002,0.059916666666666694,0.14000000000000004,20
cobalt_threshold50,12,20,cvt,tanimoto,weighted_itr_cvt,tanimoto,0.0,0.0,0.0,20
cobalt_threshold50,12,20,cvt,tanimoto,ward,tanimoto,0.0,0.0,0.0,20
