dataset,budget,repeats,method,dimension,metric,reference_coverage_q10_mean,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_exact_recall_mean,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,coverage_radius_mean
alcohol,60,20,cvt,tanimoto,tanimoto,0.1186440677966101,0.1186440677966101,0.1186440677966101,1.1864406779661014,0.0,0.5757235549511448,0.5757235549511448,0.5757235549511448,0.6062278240451204
alcohol,60,20,scopemap_hd,tanimoto,tanimoto,0.1694915254237288,0.1694915254237288,0.1694915254237288,1.6949152542372878,0.0,0.6262126176841832,0.6262126176841832,0.6262126176841832,0.6354519554849721
alcohol,60,20,fps,tanimoto,tanimoto,0.109322033898305,0.0966101694915254,0.1212076271186439,1.0932203389830508,0.0,0.6648250013034415,0.6618068162741118,0.6677030002596216,0.6701673586501355
alcohol,60,20,kennard_stone,tanimoto,tanimoto,0.1008474576271186,0.0991525423728813,0.1016949152542372,1.0084745762711864,0.0,0.6728177212256738,0.671457487467457,0.6741779549838904,0.6751803613997543
alcohol,60,20,ward,tanimoto,tanimoto,0.1186440677966101,0.1186440677966101,0.1186440677966101,1.1864406779661014,0.0,0.5757235549511448,0.5757235549511448,0.5757235549511448,0.6062278240451204
thiol,21,20,random,2,euclidean,0.1472222222222222,0.1027777777777777,0.1944444444444444,1.472222222222222,0.0,1.6060089526639665,1.4750847307049757,1.7439842279586557,1.7946896373658845
thiol,21,20,cvt,2,euclidean,0.2166666666666666,0.1833333333333333,0.2527777777777777,2.166666666666667,0.0,1.0505036612108944,1.0194765404912995,1.0796240582869945,1.2262570462328986
thiol,21,20,scopemap_hd,2,euclidean,0.0666666666666666,0.0388888888888888,0.0944444444444444,0.6666666666666666,0.0,1.2338466843600808,1.1813974666422966,1.2917709465947471,1.5352775155099223
thiol,21,20,fps,2,euclidean,0.0916666666666666,0.0499305555555555,0.1361805555555552,0.9166666666666664,0.0,2.023393575356145,1.9200142874503696,2.134899863072992,1.9774598060963795
thiol,21,20,kennard_stone,2,euclidean,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.5555555555555555,0.0,2.1851779325914875,2.1851779325914875,2.1851779325914875,2.013597143535838
thiol,21,20,ward,2,euclidean,0.3333333333333332,0.3333333333333332,0.3333333333333332,3.333333333333333,0.0,0.9189347748556704,0.9189347748556704,0.9189347748556704,1.277573362124447
thiol,21,20,random,64,euclidean,0.111111111111111,0.0888888888888888,0.1333333333333333,1.1111111111111112,0.0,15.066660586450388,14.71386010031519,15.38858810260593,17.193905537810636
thiol,21,20,cvt,64,euclidean,0.125,0.1166666666666666,0.1361111111111111,1.25,0.0,10.681027133837176,10.552255335531258,10.80268521762725,15.00729207294954
thiol,21,20,scopemap_hd,64,euclidean,0.1638888888888889,0.15,0.175,1.6388888888888888,0.0,11.46832086254724,11.297442902106354,11.619813940060377,15.523140230205325
thiol,21,20,fps,64,euclidean,0.1333333333333333,0.1027777777777777,0.1694444444444444,1.3333333333333337,0.0,22.229248034560936,20.432751938959186,24.22226954442632,23.39521580360522
thiol,21,20,kennard_stone,64,euclidean,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.6666666666666667,0.0,34.304847734953775,34.304847734953775,34.304847734953775,34.91093427514016
thiol,21,20,ward,64,euclidean,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.6666666666666667,0.0,10.985031599255793,10.985031599255793,10.985031599255793,15.104378727096975
thiol,21,20,random,128,euclidean,0.1388888888888889,0.1055555555555555,0.1749999999999999,1.3888888888888886,0.0,18.579459918898955,18.102590417171434,18.98324118756852,22.056693339239565
thiol,21,20,cvt,128,euclidean,0.2472222222222222,0.2249999999999999,0.2722222222222222,2.4722222222222223,0.0,12.840614152043049,12.68196008326928,12.985614385923318,19.70637710555896
thiol,21,20,scopemap_hd,128,euclidean,0.2361111111111111,0.211111111111111,0.2611111111111111,2.3611111111111107,0.0,13.485404713812596,13.149538891280974,13.819075600531482,19.94368781869342
thiol,21,20,fps,128,euclidean,0.15,0.1277777777777777,0.1722222222222222,1.5,0.0,25.86092141293355,23.91243913900348,28.19613379451009,28.22382532300129
thiol,21,20,kennard_stone,128,euclidean,0.2777777777777778,0.2777777777777778,0.2777777777777778,2.7777777777777777,0.0,42.13101608507988,42.13101608507988,42.13101608507988,43.76653795313136
thiol,21,20,ward,128,euclidean,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.6666666666666667,0.0,14.465951521152988,14.465951521152988,14.465951521152988,19.792398335293875
