analysis_type,dataset,method,dimension,budget,budget_spent,failure_recall_mean,failure_cluster_coverage_mean,boundary_coverage_mean,boundary_enrichment_mean,coverage_radius_mean,compactness_score,pareto_metric_count
prospective_final,aldol,uncertainty_diversity,64,80,80.0,0.1680272108843537,0.8583333333333333,0.0253968253968254,0.3463492063492063,14.63418423364673,-14.63418423364673,5
prospective_final,aldol,cvt,128,80,80.0,0.073469387755102,0.6,0.1457875457875458,1.988177655677656,19.3793191990099,-19.3793191990099,5
prospective_final,aldol,weighted_itr_cvt,128,80,80.0,0.0643990929705215,0.6166666666666667,0.142002442002442,1.9365583028083029,19.31759977679112,-19.31759977679112,5
prospective_final,aldol,fps,128,80,80.0,0.1281179138321995,1.0,0.0246642246642246,0.3363583638583639,19.3652937219798,-19.3652937219798,5
prospective_final,aldol,kennard_stone,128,80,80.0,0.1383219954648526,1.0,0.0258852258852258,0.353009768009768,19.42017452260258,-19.42017452260258,5
prospective_final,aldol,ward,128,80,80.0,0.1079365079365079,0.75,0.1224664224664224,1.6701358363858363,19.540261025172256,-19.540261025172256,5
prospective_final,aldol,repulsive_fps,128,80,80.0,0.1342403628117913,1.0,0.0247863247863247,0.3380235042735043,19.416607979181915,-19.416607979181915,5
prospective_final,aldol,cvt,full,80,80.0,0.0521541950113378,0.5458333333333333,0.1927960927960928,2.6292567155067155,33.62331830984736,-33.62331830984736,5
prospective_final,aldol,weighted_itr_cvt,full,80,80.0,0.0551020408163265,0.5625,0.182051282051282,2.482724358974359,33.58497408606126,-33.58497408606126,5
prospective_final,aldol,ward,full,80,80.0,0.0866213151927437,0.5041666666666667,0.1482295482295482,2.021480463980464,33.70215049275647,-33.70215049275647,5
prospective_final,aldol,random,tanimoto,80,80.0,0.0666666666666666,0.5416666666666666,0.0748175182481751,1.020323905109489,0.4853431165555851,-0.4853431165555851,5
prospective_final,aldol,cvt,tanimoto,80,80.0,0.1020408163265306,0.5,0.1167883211678832,1.5927007299270073,0.5095278946147024,-0.5095278946147024,5
prospective_final,aldol,weighted_itr_cvt,tanimoto,80,80.0,0.1020408163265306,0.5,0.1167883211678832,1.5927007299270073,0.5095278946147024,-0.5095278946147024,5
prospective_final,aldol,fps,tanimoto,80,80.0,0.1360544217687075,0.875,0.0328467153284671,0.4479470802919707,0.5093955708449198,-0.5093955708449198,5
prospective_final,aldol,ward,tanimoto,80,80.0,0.1020408163265306,0.5,0.1167883211678832,1.5927007299270073,0.5095278946147024,-0.5095278946147024,5
prospective_final,aldol,repulsive_fps,tanimoto,80,80.0,0.0952380952380952,0.875,0.0364963503649635,0.4977189781021897,0.5136671715562038,-0.5136671715562038,5
prospective_final,aldol,uncertainty,tanimoto,80,80.0,0.1768707482993197,0.5375,0.0546228710462287,0.744919403892944,0.5292959974394935,-0.5292959974394935,5
prospective_final,aldol,uncertainty_diversity,tanimoto,80,80.0,0.1802721088435374,0.5166666666666667,0.0521897810218978,0.7117381386861313,0.5286251555974345,-0.5286251555974345,5
prospective_final,buchwald_hartwig,random,2,120,120.0,0.0300104566050888,1.0,0.0291578629640808,0.9609945668578328,0.0017442165137114,-0.0017442165137114,5
prospective_final,buchwald_hartwig,fps,2,120,120.0,0.0278668525618682,1.0,0.0121642016299426,0.4009118120535266,0.0001846013359274,-0.0001846013359274,5
prospective_final,buchwald_hartwig,uncertainty,2,120,120.0,0.0315266643429766,0.93125,0.0209326894053727,0.6899065549854111,0.0029531855519922,-0.0029531855519922,5
prospective_final,buchwald_hartwig,uncertainty_diversity,2,120,120.0,0.030289299407459,0.9375,0.0201780863265922,0.6650360951806017,0.0028705827967563,-0.0028705827967563,5
prospective_final,buchwald_hartwig,cvt,16,120,120.0,0.0321889159986057,1.0,0.0357776463630987,1.17917159471713,1.1854834088751771,-1.1854834088751771,5
prospective_final,buchwald_hartwig,ward,16,120,120.0,0.0326594632276054,1.0,0.0343583678296865,1.1323945397200867,1.1712253303696425,-1.1712253303696425,5
prospective_final,buchwald_hartwig,uncertainty,16,120,120.0,0.0267166260020913,0.95625,0.0385274985215848,1.2698021387739011,2.6545747731142564,-2.6545747731142564,5
prospective_final,buchwald_hartwig,cvt,32,120,120.0,0.0314395259672359,1.0,0.0585513078470824,1.9297535211267605,4.028633587093315,-4.028633587093315,5
prospective_final,buchwald_hartwig,weighted_itr_cvt,32,120,120.0,0.0273788776577204,1.0,0.0612676056338028,2.0192781690140844,4.084184028010739,-4.084184028010739,5
