dataset,budget,repeats,method,dimension,failure_recall_mean,failure_recall_ci_low,failure_recall_ci_high,failure_cluster_coverage_mean,failure_cluster_coverage_ci_low,failure_cluster_coverage_ci_high,boundary_coverage_mean,boundary_coverage_ci_low,boundary_coverage_ci_high,boundary_enrichment_mean,boundary_enrichment_ci_low,boundary_enrichment_ci_high,coverage_radius_mean,coverage_radius_ci_low,coverage_radius_ci_high
cobalt_condition1,12,20,repulsive_fps,16,0.1985714285714285,0.1885714285714285,0.2085714285714285,1.0,1.0,1.0,0.0166666666666666,0.0066666666666666,0.03,0.0833333333333333,0.0333333333333333,0.15,15.234688210894708,13.123101676811014,17.386243906145737
cobalt_condition1,12,20,random,full,0.1914285714285714,0.1714285714285714,0.21,0.4,0.325,0.475,0.1833333333333333,0.1433333333333333,0.2266666666666667,0.9166666666666666,0.7166666666666667,1.1333333333333333,22.268422762297742,21.750248968348444,22.82087893815611
cobalt_condition1,12,20,cvt,full,0.1714285714285714,0.1599999999999999,0.1857142857142857,0.8625,0.8125,0.9125,0.0933333333333333,0.08,0.1066666666666666,0.4666666666666666,0.3999999999999999,0.5333333333333333,19.397408073250887,19.32571749799836,19.473182021857248
cobalt_condition1,12,20,weighted_itr_cvt,full,0.1771428571428571,0.1642857142857142,0.1914285714285714,0.7625,0.7125,0.8125,0.1833333333333333,0.1566666666666666,0.21,0.9166666666666666,0.7833333333333332,1.0666666666666664,19.882514963551397,19.765814038569538,20.008758101069592
cobalt_condition1,12,20,fps,full,0.2114285714285714,0.2014285714285714,0.2214285714285714,1.0,1.0,1.0,0.0233333333333333,0.01,0.0366666666666666,0.1166666666666666,0.05,0.1833333333333333,25.72611409744369,24.321548029877867,27.163368047511995
cobalt_condition1,12,20,kennard_stone,full,0.2,0.2,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.746961537448364,30.74696153744836,30.74696153744836
cobalt_condition1,12,20,ward,full,0.1714285714285714,0.1714285714285714,0.1714285714285714,0.75,0.75,0.75,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3333333333333333,0.3333333333333332,0.3333333333333332,19.25034302919073,19.25034302919073,19.25034302919073
cobalt_condition1,12,20,repulsive_fps,full,0.2042857142857142,0.1928571428571428,0.2157142857142857,0.9875,0.9625,1.0,0.0133333333333333,0.0033333333333333,0.0266666666666666,0.0666666666666666,0.0166666666666666,0.1333333333333333,26.683989537224583,25.590460049073197,27.8030410902777
cobalt_condition1,12,20,random,tanimoto,0.1914285714285714,0.1714285714285714,0.2114285714285714,0.725,0.675,0.7875,0.19375,0.15625,0.23125,0.96875,0.796875,1.140625,0.5437293727088492,0.5376140158410667,0.5502722155198494
cobalt_condition1,12,20,cvt,tanimoto,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.75,0.75,0.75,0.1875,0.1875,0.1875,0.9375,0.9375,0.9375,0.4928728904050203,0.4928728904050204,0.4928728904050204
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,0.1714285714285714,0.1714285714285714,0.1714285714285714,0.75,0.75,0.75,0.25,0.25,0.25,1.25,1.25,1.25,0.4913591468428002,0.4913591468428002,0.4913591468428002
cobalt_condition1,12,20,fps,tanimoto,0.2142857142857142,0.2057142857142857,0.2228571428571428,0.875,0.825,0.925,0.11875,0.09375,0.14375,0.59375,0.46875,0.71875,0.5517425538016217,0.5469692149016893,0.5565580667183745
cobalt_condition1,12,20,kennard_stone,tanimoto,0.2,0.2,0.2,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.3125,0.3125,0.3125,0.5594577933368808,0.5594577933368808,0.5594577933368808
cobalt_condition1,12,20,ward,tanimoto,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.75,0.75,0.75,0.1875,0.1875,0.1875,0.9375,0.9375,0.9375,0.4928728904050203,0.4928728904050204,0.4928728904050204
cobalt_condition1,12,20,repulsive_fps,tanimoto,0.2028571428571428,0.19,0.2157499999999998,0.825,0.775,0.875,0.1625,0.1375,0.1875,0.8125,0.703125,0.9375,0.5581636692082916,0.5546400521562432,0.5616162595749422
cobalt_threshold1,12,20,random,2,0.2085714285714285,0.1828571428571428,0.2299999999999999,0.525,0.45,0.5875,0.1966666666666666,0.1533333333333333,0.24,0.9833333333333334,0.75,1.2,2.3707929608848417,2.193297149577664,2.547746486534298
cobalt_threshold1,12,20,cvt,2,0.1485714285714285,0.1428571428571428,0.1571428571428571,0.8,0.7625,0.85,0.13,0.1233333333333333,0.1333333333333333,0.65,0.6166666666666665,0.6666666666666665,0.734375066666372,0.728153724916748,0.7417689562869669
cobalt_threshold1,12,20,weighted_itr_cvt,2,0.1699999999999999,0.1657142857142856,0.1742857142857142,1.0,1.0,1.0,0.0033333333333333,0.0,0.01,0.0166666666666666,0.0,0.05,1.050256818216,1.0319679515385285,1.068141142840573
cobalt_threshold1,12,20,fps,2,0.1857142857142857,0.18,0.1914285714285714,1.0,1.0,1.0,0.0333333333333333,0.0199999999999999,0.0466666666666666,0.1666666666666666,0.0999999999999999,0.2333333333333333,1.0732245700379237,1.0396403412718074,1.1108285189929423
cobalt_threshold1,12,20,kennard_stone,2,0.1714285714285714,0.1714285714285714,0.1714285714285714,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3333333333333333,0.3333333333333332,0.3333333333333332,1.0515986603189538,1.051598660318954,1.051598660318954
cobalt_threshold1,12,20,ward,2,0.2,0.2,0.2,0.75,0.75,0.75,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.6666666666666666,0.6666666666666665,0.6666666666666665,0.7153376660609491,0.715337666060949,0.715337666060949
cobalt_threshold1,12,20,repulsive_fps,2,0.1428571428571428,0.1314285714285714,0.1542857142857142,0.975,0.9375,1.0,0.03,0.0166666666666666,0.0433333333333333,0.15,0.0833333333333333,0.2166666666666666,1.4053694101566312,1.3371853215362814,1.4749546858087443
cobalt_threshold1,12,20,random,8,0.2071428571428571,0.1871071428571428,0.2271428571428571,0.35,0.3,0.4,0.2233333333333333,0.1866666666666666,0.2599999999999999,1.1166666666666667,0.9166666666666664,1.3,7.139740191981284,6.902529080215396,7.37757799690967
cobalt_threshold1,12,20,cvt,8,0.1914285714285714,0.1857142857142857,0.1971428571428572,1.0,1.0,1.0,0.0833333333333333,0.0733333333333333,0.0966666666666666,0.4166666666666666,0.35,0.4833333333333333,4.361796647612854,4.33656211352927,4.387706036563101
cobalt_threshold1,12,20,weighted_itr_cvt,8,0.18,0.1714285714285714,0.1885714285714285,1.0,1.0,1.0,0.1233333333333333,0.11,0.1366666666666667,0.6166666666666666,0.5499999999999998,0.6833333333333332,4.489974771846825,4.440609829356634,4.542729720080944
cobalt_threshold1,12,20,fps,8,0.1785714285714285,0.1699999999999999,0.1871428571428571,1.0,1.0,1.0,0.0233333333333333,0.01,0.0366666666666666,0.1166666666666666,0.05,0.1833333333333333,6.558244369650372,5.969222224947616,7.194975366182208
cobalt_threshold1,12,20,kennard_stone,8,0.1714285714285714,0.1714285714285714,0.1714285714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481627294331039,7.481627294331041,7.481627294331041
cobalt_threshold1,12,20,ward,8,0.1714285714285714,0.1714285714285714,0.1714285714285714,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3333333333333333,0.3333333333333332,0.3333333333333332,4.468216101394634,4.468216101394633,4.468216101394633
cobalt_threshold1,12,20,repulsive_fps,8,0.1614285714285714,0.15,0.1728571428571428,1.0,1.0,1.0,0.0066666666666666,0.0,0.0166666666666666,0.0333333333333333,0.0,0.0833333333333333,7.728890930538053,7.0982005818628,8.394349226397347
cobalt_threshold1,12,20,random,16,0.1985714285714285,0.1828571428571428,0.2142857142857142,0.4375,0.3625,0.525,0.1866666666666666,0.1533333333333333,0.22,0.9333333333333332,0.7666666666666667,1.1,11.189900146176392,10.982642009083367,11.377047773050574
cobalt_threshold1,12,20,cvt,16,0.1685714285714285,0.1614285714285714,0.1771428571428571,1.0,1.0,1.0,0.0966666666666666,0.0833333333333333,0.11,0.4833333333333333,0.4166666666666666,0.55,8.534144721850776,8.459284641969704,8.632702167701547
cobalt_threshold1,12,20,weighted_itr_cvt,16,0.1628571428571428,0.1514285714285714,0.1757142857142857,0.975,0.9375,1.0,0.1466666666666666,0.1366666666666666,0.16,0.7333333333333333,0.6833333333333332,0.7999999999999999,8.89826765190448,8.822790012699762,8.986355336147819
cobalt_threshold1,12,20,fps,16,0.2028571428571428,0.1942857142857143,0.2114285714285714,1.0,1.0,1.0,0.02,0.0066666666666666,0.0333333333333333,0.1,0.0333333333333333,0.1666666666666666,14.941560723814144,12.700874747438894,17.329029727579062
cobalt_threshold1,12,20,kennard_stone,16,0.2,0.2,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.964320936442427,21.96432093644243,21.96432093644243
cobalt_threshold1,12,20,ward,16,0.2,0.2,0.2,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3333333333333333,0.3333333333333332,0.3333333333333332,8.482318345386094,8.482318345386094,8.482318345386094
cobalt_threshold1,12,20,repulsive_fps,16,0.1985714285714285,0.1885714285714285,0.2085714285714285,1.0,1.0,1.0,0.0166666666666666,0.0066666666666666,0.03,0.0833333333333333,0.0333333333333333,0.15,15.234688210894708,13.123101676811014,17.386243906145737
cobalt_threshold1,12,20,random,full,0.1914285714285714,0.1714285714285714,0.21,0.4,0.325,0.475,0.1833333333333333,0.1433333333333333,0.2266666666666667,0.9166666666666666,0.7166666666666667,1.1333333333333333,22.268422762297742,21.750248968348444,22.82087893815611
cobalt_threshold1,12,20,cvt,full,0.1714285714285714,0.1599999999999999,0.1857142857142857,0.8625,0.8125,0.9125,0.0933333333333333,0.08,0.1066666666666666,0.4666666666666666,0.3999999999999999,0.5333333333333333,19.397408073250887,19.32571749799836,19.473182021857248
cobalt_threshold1,12,20,weighted_itr_cvt,full,0.1771428571428571,0.1642857142857142,0.1914285714285714,0.7625,0.7125,0.8125,0.1833333333333333,0.1566666666666666,0.21,0.9166666666666666,0.7833333333333332,1.0666666666666664,19.882514963551397,19.765814038569538,20.008758101069592
cobalt_threshold1,12,20,fps,full,0.2114285714285714,0.2014285714285714,0.2214285714285714,1.0,1.0,1.0,0.0233333333333333,0.01,0.0366666666666666,0.1166666666666666,0.05,0.1833333333333333,25.72611409744369,24.321548029877867,27.163368047511995
cobalt_threshold1,12,20,kennard_stone,full,0.2,0.2,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.746961537448364,30.74696153744836,30.74696153744836
cobalt_threshold1,12,20,ward,full,0.1714285714285714,0.1714285714285714,0.1714285714285714,0.75,0.75,0.75,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3333333333333333,0.3333333333333332,0.3333333333333332,19.25034302919073,19.25034302919073,19.25034302919073
cobalt_threshold1,12,20,repulsive_fps,full,0.2042857142857142,0.1928571428571428,0.2157142857142857,0.9875,0.9625,1.0,0.0133333333333333,0.0033333333333333,0.0266666666666666,0.0666666666666666,0.0166666666666666,0.1333333333333333,26.683989537224583,25.590460049073197,27.8030410902777
cobalt_threshold1,12,20,random,tanimoto,0.1914285714285714,0.1714285714285714,0.2114285714285714,0.725,0.675,0.7875,0.19375,0.15625,0.23125,0.96875,0.796875,1.140625,0.5437293727088492,0.5376140158410667,0.5502722155198494
cobalt_threshold1,12,20,cvt,tanimoto,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.75,0.75,0.75,0.1875,0.1875,0.1875,0.9375,0.9375,0.9375,0.4928728904050203,0.4928728904050204,0.4928728904050204
cobalt_threshold1,12,20,weighted_itr_cvt,tanimoto,0.1714285714285714,0.1714285714285714,0.1714285714285714,0.75,0.75,0.75,0.25,0.25,0.25,1.25,1.25,1.25,0.4913591468428002,0.4913591468428002,0.4913591468428002
cobalt_threshold1,12,20,fps,tanimoto,0.2142857142857142,0.2057142857142857,0.2228571428571428,0.875,0.825,0.925,0.11875,0.09375,0.14375,0.59375,0.46875,0.71875,0.5517425538016217,0.5469692149016893,0.5565580667183745
cobalt_threshold1,12,20,kennard_stone,tanimoto,0.2,0.2,0.2,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.3125,0.3125,0.3125,0.5594577933368808,0.5594577933368808,0.5594577933368808
cobalt_threshold1,12,20,ward,tanimoto,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.75,0.75,0.75,0.1875,0.1875,0.1875,0.9375,0.9375,0.9375,0.4928728904050203,0.4928728904050204,0.4928728904050204
cobalt_threshold1,12,20,repulsive_fps,tanimoto,0.2028571428571428,0.19,0.2157499999999998,0.825,0.775,0.875,0.1625,0.1375,0.1875,0.8125,0.703125,0.9375,0.5581636692082916,0.5546400521562432,0.5616162595749422
